2019-02-11 11:32:24 INFO  AddParticipant:97 - type username
2019-02-11 11:32:40 INFO  AddParticipant:102 - type password
2019-02-11 11:32:57 INFO  AddParticipant:108 - click login
2019-02-11 11:33:13 INFO  AddParticipant:113 - click dropdown 
2019-02-11 11:33:50 INFO  AddParticipant:121 - click select
2019-02-11 11:34:39 INFO  AddParticipant:133 - click setings
2019-02-11 11:34:49 INFO  ValidLogin2:167 - click arrrow down
2019-02-11 11:34:51 INFO  ValidLogin2:171 - click logout
2019-02-11 11:34:54 INFO  AddParticipant:138 - click CD
2019-02-11 11:35:25 INFO  BasePage:2668 - In GetDownloadedFileDetails
2019-02-11 11:35:25 INFO  BasePage:2706 - NoOfFiles5
2019-02-11 11:35:25 INFO  BasePage:2714 - DownloadedFiles-->.gitignore
2019-02-11 11:35:25 INFO  BasePage:2714 - DownloadedFiles-->CompanyDirectoryParticipantImportTemplate_2.11.2019.xlsx
2019-02-11 11:35:25 INFO  BasePage:2714 - DownloadedFiles-->CompanyDirectoryParticipantImportTemplate_7.23.2018.xlsx
2019-02-11 11:35:25 INFO  BasePage:2714 - DownloadedFiles-->SpotlightReport65872573979636679169600203613.ppt
2019-02-11 11:35:25 INFO  BasePage:2714 - DownloadedFiles-->SpotlightReport65872573979636679178778075560.ppt
2019-02-11 11:35:25 INFO  BasePage:2722 - GetDownloadedFileDetails Executed
2019-02-11 11:35:46 INFO  ValidLogin:104 - type username
2019-02-11 11:35:47 INFO  BasePage:1113 - keyerrormsg=Session ID is null. Using WebDriver after calling quit()?
2019-02-11 11:35:52 INFO  ValidLogin:114 - type password
2019-02-11 11:35:52 INFO  BasePage:1113 - keyerrormsg=Session ID is null. Using WebDriver after calling quit()?
2019-02-11 11:35:57 INFO  ValidLogin:126 - click login
2019-02-11 11:35:57 INFO  BasePage:829 - keyerrormsg=Session ID is null. Using WebDriver after calling quit()?
2019-02-11 11:36:04 INFO  ValidLogin:138 - click dropdown 
2019-02-11 11:36:17 INFO  BasePage:2749 - In GetLastDownloadedFile
2019-02-11 11:36:17 INFO  BasePage:2803 - In setRunTimeVariable 
2019-02-11 11:36:17 INFO  BasePage:2808 - In setRunTimeVariable Key:  Value: added successfully
2019-02-11 11:36:17 INFO  BasePage:2949 - In setRunTimeVariable 
2019-02-11 11:36:17 INFO  BasePage:2951 - In setRunTimeVariable Key: GetLastDownloadedFile Value: CompanyDirectoryParticipantImportTemplate_2.11.2019 (1).xlsxadded successfully
2019-02-11 11:36:17 INFO  BasePage:2816 - GetLastDownloadedFile name is CompanyDirectoryParticipantImportTemplate_2.11.2019 (1).xlsx
